Kp=0.75;;;;;;;;;;;;;;;;;;;;;;;;;
13:28:56;22.00;;;;;;;;;;;;;;;;;;;;;;;;
13:29:17;22.20;;;;;;;;;;;;;;;;;;;;;;;;
13:29:39;23.00;;;;;;;;;;;;;;;;;;;;;;;;
13:30:00;24.70;;;;;;;;;;;;;;;;;;;;;;;;
13:30:21;27.10;;;;;;;;;;;;;;;;;;;;;;;;
13:30:43;29.80;;;;;;;;;;;;;;;;;;;;;;;;
13:31:04;32.40;;;;;;;;;;;;;;;;;;;;;;;;
13:31:25;34.60;;;;;;;;;;;;;;;;;;;;;;;;
13:31:46;36.20;;;;;;;;;;;;;;;;;;;;;;;;
13:32:08;37.40;;;;;;;;;;;;;;;;;;;;;;;;
13:32:29;38.20;;;;;;;;;;;;;;;;;;;;;;;;
13:32:51;38.50;;;;;;;;;;;;;;;;;;;;;;;;
13:33:33;38.10;;;;;;;;;;;;;;;;;;;;;;;;
13:33:55;37.40;;;;;;;;;;;;;;;;;;;;;;;;
13:34:16;36.70;;;;;;;;;;;;;;;;;;;;;;;;
13:34:38;36.00;;;;;;;;;;;;;;;;;;;;;;;;
13:34:59;35.20;;;;;;;;;;;;;;;;;;;;;;;;
13:36:03;33.70;;;;;;;;;;;;;;;;;;;;;;;;
13:36:24;33.60;;;;;;;;;;;;;;;;;;;;;;;;
13:36:46;33.70;;;;;;;;;;;;;;;;;;;;;;;;
13:37:07;34.00;;;;;;;;;;;;;;;;;;;;;;;;
13:37:28;34.40;;;;;;;;;;;;;;;;;;;;;;;;
13:37:50;34.90;;;;;;;;;;;;;;;;;;;;;;;;
13:38:11;35.40;;;;;;;;;;;;;;;;;;;;;;;;
13:38:32;35.80;;;;;;;;;;;;;;;;;;;;;;;;
13:38:54;36.10;;;;;;;;;;;;;;;;;;;;;;;;
13:39:15;36.30;;;;;;;;;;;;;;;;;;;;;;;;
13:39:36;36.30;;;;;;;;;;;;;;;;;;;;;;;;
13:39:58;36.30;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;KP=0.5;;;;;;;;;;;;;;;;;;;;;;;;
12:39:13;20.10;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:39:34;20.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:40:17;22.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:40:38;24.70;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:41:21;29.70;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:41:42;31.90;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:42:25;35.00;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:43:08;36.50;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:43:50;36.70;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:44:12;36.50;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:44:33;36.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:44:55;35.70;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:45:16;35.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:45:59;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:46:20;33.90;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:47:03;33.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:47:24;33.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:47:45;33.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:48:07;33.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:48:28;33.60;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:48:49;33.90;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:49:11;34.10;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:49:32;34.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:49:53;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:50:36;34.60;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:51:19;34.60;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:51:40;34.50;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:52:02;34.50;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:52:45;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:53:27;34.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:53:49;34.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:54:10;34.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:54:32;34.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:55:14;34.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:55:36;34.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:55:57;34.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:56:19;34.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:56:40;34.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:57:02;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:57:23;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:57:45;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:58:06;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:59:35;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:59:56;34.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Kp=0.5 Ki=0.00005;;;Kp=0.5 Ki=0.0005;;;Kp=0.55, Ki=0.0005, Kd=0.005;;;Kp=0.75, Ki=0.0005, Kd=0.05;;;Kp=0.6, Ki=0.0005, Kd=0.1;;;Kp=0.6, Ki=0.0008, Kd=0.14;;;Kp=0.6, Ki=0.0008, Kd=0.2 ;;;Kp=0.65, Ki=0.0008, Kd=0.65;;;Kp=0.7, Ki=0.0009, Kd=0.85;
14:05:29;24.2;;14:28:15;23.60;;14:51:10;24.10;;15:16:19;24.20;;15:41:31;24.60;;16:08:46;24.60;;16:46:56;25.40;;17:13:06;26.20;;17:42:20;26.00
14:05:50;24.4;;14:28:57;23.70;;14:51:31;24.20;;15:16:41;24.30;;15:41:53;24.80;;16:09:08;24.70;;16:47:17;25.40;;17:13:27;26.20;;17:42:42;26.00
14:06:12;25;;14:29:40;25.30;;14:52:14;25.40;;15:17:23;25.20;;15:42:36;26.90;;16:09:29;24.80;;16:47:39;25.90;;17:13:49;26.40;;17:43:03;26.20
14:06:33;26;;14:31:05;32.50;;14:52:35;26.90;;15:18:30;31.90;;15:43:19;30.80;;16:09:50;25.40;;16:48:22;27.50;;17:14:10;26.80;;17:44:30;30.20
14:06:54;27.5;;14:31:26;34.30;;14:53:18;30.60;;15:18:52;34.40;;15:43:40;32.90;;16:10:12;26.50;;16:49:04;30.00;;17:14:32;27.60;;17:44:51;31.80
14:07:16;29.1;;14:31:48;35.80;;14:53:39;32.70;;15:19:35;38.20;;15:44:23;36.40;;16:10:33;28.30;;16:49:47;32.80;;17:15:15;29.70;;17:45:13;33.30
14:07:37;30.9;;14:32:09;36.80;;14:54:01;34.40;;15:20:18;40.10;;15:44:44;37.70;;16:10:54;30.30;;16:50:08;34.20;;17:15:36;31.20;;17:45:55;36.30
14:07:58;32.4;;14:32:30;37.70;;14:54:22;36.10;;15:20:39;40.30;;15:45:27;39.10;;16:11:16;32.60;;16:50:29;35.50;;17:15:58;32.60;;17:46:38;38.50
14:08:19;33.7;;14:32:51;38.20;;14:55:05;38.20;;15:22:26;37.70;;15:45:48;39.30;;16:12:19;37.90;;16:50:51;36.60;;17:17:23;37.60;;17:46:59;39.30
14:08:41;34.9;;14:33:13;38.50;;14:55:26;38.60;;15:24:56;35.50;;15:46:52;38.20;;16:12:41;38.90;;16:51:34;38.40;;17:17:45;38.50;;17:47:21;39.90
14:09:02;35.8;;14:33:34;38.50;;14:55:48;38.80;;15:26:01;36.90;;15:47:14;37.60;;16:13:02;39.60;;16:52:17;39.30;;17:18:27;39.50;;17:47:42;40.10
14:09:23;36.5;;14:33:55;38.40;;14:56:30;38.60;;15:26:23;37.40;;15:47:35;37.00;;16:13:45;40.10;;16:52:39;39.60;;17:18:49;39.70;;17:48:03;40.20
14:09:45;36.8;;14:34:17;38.20;;14:56:52;38.10;;15:27:06;37.90;;15:47:57;36.40;;16:14:06;39.80;;16:53:22;39.40;;17:19:31;39.60;;17:48:25;40.20
14:10:06;36.9;;14:34:38;37.90;;14:57:56;36.60;;15:27:28;38.00;;15:48:18;35.80;;16:14:28;39.30;;16:53:44;39.10;;17:20:14;39.00;;17:49:07;39.60
14:10:28;36.8;;14:35:21;37.10;;14:58:39;35.80;;15:27:49;37.90;;15:49:01;35.20;;16:14:49;38.70;;16:54:05;38.80;;17:20:36;38.50;;17:49:29;39.10
14:10:49;36.6;;14:35:42;36.70;;14:59:00;35.50;;15:28:10;37.80;;15:49:47;35.20;;16:15:11;38.10;;16:54:26;38.40;;17:20:57;38.10;;17:49:50;38.70
14:11:53;35.4;;14:36:04;36.40;;14:59:21;35.40;;15:28:53;37.40;;15:50:08;35.40;;16:15:32;37.40;;16:54:48;37.90;;17:22:03;36.60;;17:50:12;38.10
14:12:14;35.1;;14:36:46;35.90;;14:59:43;35.30;;15:29:14;37.10;;15:50:30;35.70;;16:16:15;36.30;;16:55:09;37.40;;17:22:24;36.20;;17:50:33;37.60
14:12:36;34.8;;14:37:07;35.80;;15:00:04;35.40;;15:30:40;36.60;;15:50:51;36.10;;16:16:36;36.00;;16:55:31;37.00;;17:23:52;35.40;;17:51:16;36.60
14:12:57;34.5;;14:37:50;35.90;;15:00:47;35.90;;15:31:23;36.70;;15:51:34;36.80;;16:16:58;35.80;;16:55:52;36.60;;17:24:13;35.40;;17:51:37;36.10
14:13:18;34.3;;14:38:54;36.50;;15:01:09;36.20;;15:31:44;36.90;;15:51:55;37.10;;16:17:19;35.90;;16:56:56;35.60;;17:24:35;35.60;;17:51:58;35.70
14:13:40;34.1;;14:39:15;36.70;;15:01:30;36.50;;15:32:27;37.20;;15:53:21;37.30;;16:18:02;36.20;;16:58:24;35.90;;17:24:56;35.90;;17:52:20;35.60
14:14:01;34.1;;14:39:37;36.90;;15:01:51;36.80;;15:34:14;37.50;;15:53:42;37.20;;16:18:23;36.60;;16:58:45;36.00;;17:25:17;36.20;;17:52:41;35.50
14:14:23;34.2;;14:39:58;37.10;;15:02:13;37.10;;15:34:36;37.40;;15:54:04;37.10;;16:18:45;36.90;;16:59:07;36.20;;17:25:39;36.40;;17:53:02;35.50
14:14:44;34.2;;14:40:19;37.10;;15:02:58;37.20;;C;37.30;;15:55:29;36.60;;16:19:06;37.30;;16:59:51;36.80;;17:26:00;36.80;;17:53:24;35.60
14:15:05;34.3;;14:40:41;37.10;;15:03:20;37.20;;;;;15:56:33;36.40;;16:19:27;37.60;;17:00:12;37.10;;17:26:21;37.10;;17:54:06;36.20
14:15:27;34.5;;14:41:02;37.20;;15:03:41;37.10;;;;;15:56:55;36.40;;16:19:49;37.80;;17:02:20;38.00;;17:26:43;37.30;;17:54:28;36.50
14:15:48;34.6;;14:41:23;37.10;;15:04:03;37.10;;;;;15:57:16;36.40;;16:20:31;38.10;;17:03:03;37.90;;17:27:04;37.60;;17:54:49;36.90
14:16:09;34.8;;14:41:45;37.10;;15:05:07;36.60;;;;;15:57:37;36.50;;16:20:53;38.10;;17:03:24;37.70;;17:27:47;37.90;;17:55:10;37.20
14:16:31;34.9;;14:42:06;37.00;;15:05:29;36.50;;;;;15:57:59;36.60;;16:21:14;38.10;;17:03:46;37.60;;17:28:08;37.90;;17:55:32;37.60
14:16:52;35.1;;14:42:27;36.90;;15:06:34;36.40;;;;;15:58:42;36.80;;16:21:36;38.00;;17:04:07;37.50;;17:28:30;38.00;;17:55:53;37.80
14:17:14;35.1;;14:42:48;36.80;;15:06:55;36.40;;;;;15:59:03;36.90;;16:21:57;37.80;;17:04:50;37.30;;17:28:51;37.90;;17:56:14;38.10
14:17:35;35.1;;14:43:34;36.60;;15:07:17;36.50;;;;;15:59:24;37.00;;16:22:18;37.70;;;;;17:29:12;37.80;;17:56:36;38.20
14:17:56;35.1;;14:44:38;36.70;;15:07:38;36.60;;;;;15:59:46;37.10;;16:22:40;37.50;;;;;17:29:34;37.70;;17:56:57;38.30
14:18:18;35.1;;14:45:21;36.80;;15:08:00;36.70;;;;;16:00:07;37.10;;16:23:01;37.30;;;;;17:29:55;37.60;;17:57:18;38.20
14:18:39;35.1;;;;;15:08:21;36.80;;;;;16:00:50;37.10;;16:23:23;37.20;;;;;17:30:16;37.50;;17:57:40;38.20
14:19:22;35;;;;;15:08:42;36.90;;;;;16:01:11;37.10;;16:23:44;37.10;;;;;17:30:38;37.30;;17:58:22;38.00
14:19:43;34.9;;;;;15:09:04;36.90;;;;;16:01:33;37.10;;16:24:05;37.10;;;;;17:30:59;37.20;;17:58:44;37.80
14:20:04;34.8;;;;;15:09:47;37.00;;;;;;;;16:24:48;37.20;;;;;17:31:20;37.10;;17:59:27;37.60
14:20:47;34.7;;;;;;;;;;;;;;16:25:09;37.40;;;;;17:31:42;37.00;;17:59:48;37.40
14:21:08;34.7;;;;;;;;;;;;;;16:25:31;37.60;;;;;17:32:03;36.90;;18:00:10;37.20
;;;;;;;;;;;;;;;16:25:52;37.70;;;;;17:32:24;36.80;;18:00:52;37.10
;;;;;;;;;;;;;;;16:26:14;37.80;;;;;17:32:46;36.80;;18:01:14;36.90
;;;;;;;;;;;;;;;16:26:35;37.90;;;;;17:33:28;36.90;;18:01:35;36.90
;;;;;;;;;;;;;;;16:27:18;37.90;;;;;17:33:50;36.90;;18:02:39;36.90
;;;;;;;;;;;;;;;16:27:39;37.90;;;;;17:34:11;36.90;;18:03:01;36.90
;;;;;;;;;;;;;;;16:28:00;37.80;;;;;17:34:32;37.00;;18:03:22;37.00
;;;;;;;;;;;;;;;16:28:22;37.70;;;;;17:34:54;37.20;;18:04:05;37.20
;;;;;;;;;;;;;;;16:28:43;37.70;;;;;17:35:15;37.30;;18:04:26;37.30
;;;;;;;;;;;;;;;16:29:05;37.60;;;;;17:35:36;37.40;;18:06:13;37.70
;;;;;;;;;;;;;;;16:29:26;37.50;;;;;17:35:58;37.50;;18:06:56;37.70
;;;;;;;;;;;;;;;16:29:48;37.40;;;;;17:36:19;37.60;;18:07:17;37.70
;;;;;;;;;;;;;;;;;;;;;;;;18:07:39;37.70
;;;;;;;;;;;;;;;;;;;;;;;;18:08:22;37.70
;;;;;;;;;;;;;;;;;;;;;;;;18:08:43;37.60
;;;;;;;;;;;;;;;;;;;;;;;;18:09:05;37.50
;;;;;;;;;;;;;;;;;;;;;;;;18:09:26;37.50
;;;;;;;;;;;;;;;;;;;;;;;;18:09:48;37.50
;;;;;;;;;;;;;;;;;;;;;;;;18:10:09;37.40
